date,"OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa – China (People's Republic of) – Monthly (OECD/MEI_CLI/CSCICP03.CHN.M)","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa – Germany – Monthly (OECD/MEI_CLI/CSCICP03.DEU.M)","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa – Japan – Monthly (OECD/MEI_CLI/CSCICP03.JPN.M)","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa – Mexico – Monthly (OECD/MEI_CLI/CSCICP03.MEX.M)","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa – United States – Monthly (OECD/MEI_CLI/CSCICP03.USA.M)"
1960-01,NA,NA,NA,NA,101.6331
1960-02,NA,NA,NA,NA,101.375
1960-03,NA,NA,NA,NA,101.152
1960-04,NA,NA,NA,NA,101.029
1960-05,NA,NA,NA,NA,101.0601
1960-06,NA,NA,NA,NA,101.1479
1960-07,NA,NA,NA,NA,101.1665
1960-08,NA,NA,NA,NA,101.0261
1960-09,NA,NA,NA,NA,100.8084
1960-10,NA,NA,NA,NA,100.6277
1960-11,NA,NA,NA,NA,100.5691
1960-12,NA,NA,NA,NA,100.5902
1961-01,NA,NA,NA,NA,100.6389
1961-02,NA,NA,NA,NA,100.6907
1961-03,NA,NA,NA,NA,100.7597
1961-04,NA,NA,NA,NA,100.8816
1961-05,NA,NA,NA,NA,101.0807
1961-06,NA,NA,NA,NA,101.2828
1961-07,NA,NA,NA,NA,101.3798
1961-08,NA,NA,NA,NA,101.2913
1961-09,NA,NA,NA,NA,101.1306
1961-10,NA,NA,NA,NA,101.05
1961-11,NA,NA,NA,NA,101.1572
1961-12,NA,NA,NA,NA,101.3522
1962-01,NA,NA,NA,NA,101.4913
1962-02,NA,NA,NA,NA,101.464
1962-03,NA,NA,NA,NA,101.3246
1962-04,NA,NA,NA,NA,101.1429
1962-05,NA,NA,NA,NA,100.9666
1962-06,NA,NA,NA,NA,100.826
1962-07,NA,NA,NA,NA,100.7608
1962-08,NA,NA,NA,NA,100.8112
1962-09,NA,NA,NA,NA,100.9337
1962-10,NA,NA,NA,NA,101.0847
1962-11,NA,NA,NA,NA,101.2313
1962-12,NA,NA,NA,NA,101.3343
1963-01,NA,NA,NA,NA,101.3353
1963-02,NA,NA,NA,NA,101.1872
1963-03,NA,NA,NA,NA,100.987
1963-04,NA,NA,NA,NA,100.8606
1963-05,NA,NA,NA,NA,100.899
1963-06,NA,NA,NA,NA,101.022
1963-07,NA,NA,NA,NA,101.1238
1963-08,NA,NA,NA,NA,101.1354
1963-09,NA,NA,NA,NA,101.1073
1963-10,NA,NA,NA,NA,101.1196
1963-11,NA,NA,NA,NA,101.231
1963-12,NA,NA,NA,NA,101.3881
1964-01,NA,NA,NA,NA,101.5148
1964-02,NA,NA,NA,NA,101.5554
1964-03,NA,NA,NA,NA,101.5485
1964-04,NA,NA,NA,NA,101.5473
1964-05,NA,NA,NA,NA,101.5872
1964-06,NA,NA,NA,NA,101.6471
1964-07,NA,NA,NA,NA,101.693
1964-08,NA,NA,NA,NA,101.6999
1964-09,NA,NA,NA,NA,101.6889
1964-10,NA,NA,NA,NA,101.6927
1964-11,NA,NA,NA,NA,101.739
1964-12,NA,NA,NA,NA,101.8194
1965-01,NA,NA,NA,NA,101.9251
1965-02,NA,NA,NA,NA,102.0498
1965-03,NA,NA,NA,NA,102.1662
1965-04,NA,NA,NA,NA,102.235
1965-05,NA,NA,NA,NA,102.2225
1965-06,NA,NA,NA,NA,102.1651
1965-07,NA,NA,NA,NA,102.1037
1965-08,NA,NA,NA,NA,102.0617
1965-09,NA,NA,NA,NA,102.0285
1965-10,NA,NA,NA,NA,101.9812
1965-11,NA,NA,NA,NA,101.8988
