date,China_EPU_Index,Industrial_Production,Inflation,Real_Imports,Real_Exports,Exports_Value,Imports_Value,Net_Trade_Value,Recession_Indicator,Real_GDP,Discount_Rate,Exchange_Rate_USD,Unemployment_Rate,GDP_Per_Capita
1957-01-01,,,,,,,,,,,,,,
1957-02-01,,,,,,,,,,,,,,
1957-03-01,,,,,,,,,,,,,,
1957-04-01,,,,,,,,,,,,,,
1957-05-01,,,,,,,,,,,,,,
1957-06-01,,,,,,,,,,,,,,
1957-07-01,,,,,,,,,,,,,,
1957-08-01,,,,,,,,,,,,,,
1957-09-01,,,,,,,,,,,,,,
1957-10-01,,,,,,,,,,,,,,
1957-11-01,,,,,,,,,,,,,,
1957-12-01,,,,,,,,,,,,,,
1958-01-01,,,,,,,,,,,,,,
1958-02-01,,,,,,,,,,,,,,
1958-03-01,,,,,,,,,,,,,,
1958-04-01,,,,,,,,,,,,,,
1958-05-01,,,,,,,,,,,,,,
1958-06-01,,,,,,,,,,,,,,
1958-07-01,,,,,,,,,,,,,,
1958-08-01,,,,,,,,,,,,,,
1958-09-01,,,,,,,,,,,,,,
1958-10-01,,,,,,,,,,,,,,
1958-11-01,,,,,,,,,,,,,,
1958-12-01,,,,,,,,,,,,,,
1959-01-01,,,,,,,,,,,,,,
1959-02-01,,,,,,,,,,,,,,
1959-03-01,,,,,,,,,,,,,,
1959-04-01,,,,,,,,,,,,,,
1959-05-01,,,,,,,,,,,,,,
1959-06-01,,,,,,,,,,,,,,
1959-07-01,,,,,,,,,,,,,,
1959-08-01,,,,,,,,,,,,,,
1959-09-01,,,,,,,,,,,,,,
1959-10-01,,,,,,,,,,,,,,
1959-11-01,,,,,,,,,,,,,,
1959-12-01,,,,,,,,,,,,,,
1960-01-01,,,,,,,,,,,,2.461799999,,89.5202142368479
1960-02-01,,,,,,,,,,,,2.461799999,,
1960-03-01,,,,,,,,,,,,2.461799999,,
1960-04-01,,,,,,,,,,,,2.461799999,,
1960-05-01,,,,,,,,,,,,2.461799999,,
1960-06-01,,,,,,,,,,,,2.461799999,,
1960-07-01,,,,,,,,,,,,2.461799999,,
1960-08-01,,,,,,,,,,,,2.461799999,,
1960-09-01,,,,,,,,,,,,2.461799999,,
1960-10-01,,,,,,,,,,,,2.461799999,,
1960-11-01,,,,,,,,,,,,2.461799999,,
1960-12-01,,,,,,,,,,,,2.461799999,,
1961-01-01,,,,,,,,,,,,2.461799999,,75.8055607913604
1961-02-01,,,,,,,,,,,,2.461799999,,
1961-03-01,,,,,,,,,,,,2.461799999,,
1961-04-01,,,,,,,,,,,,2.461799999,,
1961-05-01,,,,,,,,,,,,2.461799999,,
1961-06-01,,,,,,,,,,,,2.461799999,,
1961-07-01,,,,,,,,,,,,2.461799999,,
1961-08-01,,,,,,,,,,,,2.461799999,,
1961-09-01,,,,,,,,,,,,2.461799999,,
1961-10-01,,,,,,,,,,,,2.461799999,,
1961-11-01,,,,,,,,,,,,2.461799999,,
1961-12-01,,,,,,,,,,,,2.461799999,,
1962-01-01,,,,,,,,,,,,2.461799999,,70.9091524330558
1962-02-01,,,,,,,,,,,,2.461799999,,
1962-03-01,,,,,,,,,,,,2.461799999,,
1962-04-01,,,,,,,,,,,,2.461799999,,
1962-05-01,,,,,,,,,,,,2.461799999,,
1962-06-01,,,,,,,,,,,,2.461799999,,
1962-07-01,,,,,,,,,,,,2.461799999,,
1962-08-01,,,,,,,,,,,,2.461799999,,
1962-09-01,,,,,,,,,,,,2.461799999,,
1962-10-01,,,,,,,,,,,,2.461799999,,
1962-11-01,,,,,,,,,,,,2.461799999,,
1962-12-01,,,,,,,,,,,,2.461799999,,
1963-01-01,,,,,,,,,,,,2.461799999,,74.3133717692149
1963-02-01,,,,,,,,,,,,2.461799999,,
1963-03-01,,,,,,,,,,,,2.461799999,,
1963-04-01,,,,,,,,,,,,2.461799999,,
1963-05-01,,,,,,,,,,,,2.461799999,,
