date,EPU_CAN,IP_CAN,10YS_CAN,INF_YoY_CAN,EX_CAN,IM_CAN,RECESS_CAN,GDP_CAN,GDPC_CAN,EXR_CAN,CCI_CAN,UNEMP_CAN,INF_CAN,EPU_GER,IP_GER,INF_YoY_GER,UNEMP_GER,IM_GER,EX_GER,RECESS_GER,GDP_GER,GDPC_GER,10YS_GER,EXR_GER,INF_GER,EPU_JAP,IP_JAP,INF_YoY_JAP,UNEMP_JAP,EX_JAP,RECESS_JAP,GDP_JAP,GDPC_JAP,10YS_JAP,IM_JAP,EXR_JAP,INF_JAP,EPU_USA,IP_USA,YS_USA,INF_YoY_USA,UNEMP_USA,EX_USA,IM_USA,RECESS_USA,GDP_USA,GDPC_USA,CCI_USA,INF_USA,EPU_MEX,IP_MEX,INF_YoY_MEX,GDP_MEX,2YS_MEX,1OYS_MEX,EXR_MEX,UNEMP_MEX,GDPC_MEX,IM_MEX,EX_MEX,RECESS_MEX,INF_MEX,EPU_CHI,IP_CHI,INF_CHI,IM_CHI,EX_CHI,RECESS_CHI,10YS_CHI,EXR_CHI,UNEMP_CHI,GDPC_CHI,GDP_CHI,Unnamed: 0,CCI_CHI,CCI_GER,CCI_JAP,CCI_MEX,YS_CAN,YS_MEX,YS_JAP,YS_CHI,YS_GER
1914-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
