date,EPU_CAN,IP_CAN,INF_CAN,EX_CAN,IM_CAN,RECESS_CAN,GDP_CAN,GDPC_CAN,EXR_CAN,CCI_CAN,UNEMP_CAN,EPU_GER,IP_GER,INF_GER,UNEMP_GER,IM_GER,EX_GER,RECESS_GER,GDP_GER,GDPC_GER,EXR_GER,EPU_JAP,IP_JAP,INF_JAP,UNEMP_JAP,EX_JAP,RECESS_JAP,GDP_JAP,GDPC_JAP,IM_JAP,EXR_JAP,EPU_USA,IP_USA,YS_USA,INF_USA,UNEMP_USA,EX_USA,IM_USA,RECESS_USA,GDP_USA,GDPC_USA,CCI_USA,EPU_MEX,IP_MEX,INF_MEX,GDP_MEX,EXR_MEX,UNEMP_MEX,GDPC_MEX,IM_MEX,EX_MEX,RECESS_MEX,EPU_CHI,IP_CHI,INF_CHI,IM_CHI,EX_CHI,TB_CHI,RECESS_CHI,EXR_CHI,UNEMP_CHI,GDPC_CHI,GDP_CHI,CCI_CHI,CCI_GER,CCI_JAP,CCI_MEX,YS_CAN,YS_MEX,YS_JAP,YS_CHI,YS_GER
1995-01-01,194.27143,78.67034,2.14876033057849,94289.3,75290.0,1.0,314818.8,31562.0,1.4132250000000002,98.9548670921098,9.489,107.05698,70.39865083333333,1.70616041317076,,104862.090604107,112323300000.0,1.0,5388.914000000001,31672.0,1.4331325,95.93575,102.3786,-0.127899045020446,3.266667,-13100.2,0.0,458231.3,31340.0,49811.9,99.766,136.11,71.2635,0.27,2.80541968853662,5.6,906.086,985.774,1.0,11319.951,42654.0,97.6,0.3289654,70.1164501848286,34.9992712889592,3518.95475,6.41942,4.4,7970.64038496182,511181.8125,631711.125,1.0,192.91191,,16.7912251650916,1057782.28032465,1579863.5329063,5.06894769370969,1.0,8.4384,3.0,609.604337927454,1831.41510637465,101.446,99.78362,100.8655,,,,1.9200000000000004,,
1995-02-01,126.45159,78.68018000000001,,,,1.0,,,1.4004894736842106,98.7233377853051,,133.15922,,,,,,1.0,,,,69.55904,,,,,0.0,,,,98.23684210526316,134.42,71.1758,0.36,,5.4,,,1.0,,,95.1,,63.7319926410556,,,,5.1,,,,1.0,193.98785,,,,,,1.0,8.4316,,,,101.9429,99.71936,100.6017,,,,2.0249999999999995,,
1995-03-01,162.71977,78.11946,,,,1.0,,,1.4076956521739132,98.4320644459689,,98.76192,,,,,,1.0,,,,102.55873,,,,,0.0,,,,90.5195652173913,97.52,71.2796,0.43,,5.4,,,1.0,,,90.3,,63.0080143398215,,,,5.6,,,,1.0,88.22704,,,,,,1.0,8.4269,,,,102.3471,99.82658,100.3427,,,,2.2810000000000006,,
1995-04-01,128.56147,77.95196999999999,,92252.0,75893.0,1.0,314952.5,,1.3762,98.0579067270071,,78.15823,,,,107717.813731976,113423800000.0,1.0,5432.804,,,66.37704,,,,,0.0,,,51306.4,83.6895,69.45,71.1538,0.49,,5.8,918.791,995.136,1.0,11353.721,42660.0,92.5,0.0,60.0105062755639,,3306.50125,,6.1,,525908.625,606978.6875,1.0,131.03471,,,,,3.37602414185136,1.0,8.4074,,,,102.6162,99.94355,100.1427,,,,1.934,,
1995-05-01,96.17798,77.87333000000001,,,,1.0,,,1.3608727272727272,97.9353794708585,,57.67824,,,,,,1.0,,,,93.31389,,,,,0.0,,,,85.11272727272727,64.41,71.4997,0.46,,5.6,,,1.0,,,89.8,,59.8967402686596,,,,6.5,,,,1.0,177.09686,,,,,,1.0,8.3077,,,,102.7064,100.0184,100.053,,,,2.431,,
1995-06-01,102.16714,77.73061,,,,1.0,,,1.3775090909090908,98.1105361918358,,79.87621,,,,,,1.0,,,,135.42468,,,,,0.0,,,,84.63545454545455,93.44,71.7327,0.45,,5.6,,,1.0,,,92.7,,60.195489152664,,,,6.7,,,,1.0,79.09624,,,,,,1.0,8.3011,,,,102.6145,100.0695,100.047,,,,1.789,,
1995-07-01,109.08841,77.48484,,92347.5,75555.5,1.0,315368.8,,1.36117,98.4634963322737,,58.48724,,,,108517.420123484,114275800000.0,1.0,5442.313,,,125.73398,,,,,0.0,,,54167.6,87.397,89.76,71.4334,0.5,,5.7,958.551,998.555,1.0,11450.31,42885.0,94.4,0.0,60.6947525633935,,3377.24125,,6.8,,540835.8125,630310.1875,1.0,61.73269,,,,,1.28949657093358,1.0,8.3003,,,,102.3923,100.0521,100.1104,,,,1.877,,
1995-08-01,63.02978,77.65669,,,,1.0,,,1.355217391304348,98.5332885415519,,81.35252,,,,,,1.0,,,,104.55411,,,,,0.0,,,,94.73826086956522,46.76,72.3723,0.51,,5.7,,,1.0,,,96.2,,60.7650660818758,,,,7.6,,,,0.0,52.98312,,,,,,1.0,8.3193,,,,102.1343,99.92387,100.2472,,,,2.068,,
1995-09-01,135.6433,77.41093000000001,,,,1.0,,,1.350935,98.1753947215122,,86.26076,,,,,,1.0,,,,101.9455,,,,,0.0,,,,100.5455,53.66,72.6543,0.39,,5.6,,,1.0,,,88.9,,61.794791889774,,,,6.7,,,,0.0,76.82008,,,,,,1.0,8.3188,,,,101.9228,99.77692,100.416,,,,2.382,,
1995-10-01,241.13225,77.3716,,95833.0,76363.3,1.0,316641.5,,1.3458190476190477,97.4919578171808,,75.7968,,,,109716.819921485,116121900000.0,1.0,5444.507,,,55.68587,,,,,0.0,,,56754.9,100.83904761904762,80.67,72.5336,0.35,,5.5,972.233,1011.318,1.0,11528.067,43044.0,90.2,0.185311,59.1952256827254,,3454.576,,6.6,,553315.0,651219.375,0.0,153.87129,,,,,1.0656622975635,1.0,8.3149,,,,101.8084,99.58134,100.5764,,,,2.335,,
1995-11-01,240.9738,77.56821,,,,1.0,,,1.353371428571429,97.1896756368074,,74.94923,,,,,,1.0,,,,82.24705,,,,,0.0,,,,101.93999999999998,91.45,72.717,0.45,,5.6,,,1.0,,,88.2,,63.1692660567843,,,,6.4,,,,0.0,100.0615,,,,,,1.0,8.312,,,,101.8139,99.29335,100.7028,,,,2.636,,
1995-12-01,191.77512,77.20411999999999,,,,1.0,,,1.3693,97.406530770985,,58.76147,,,,,,1.0,,,,123.7815,,,,,0.0,,,,101.8495,113.52,72.9638,0.39,,5.6,,,1.0,,,91.0,,67.4909762801635,,,,6.6,,,,0.0,143.11668,,,,,,1.0,8.3174,,,,101.9102,98.8968,100.8069,,,,2.236,,
