date,CCI_CHI,CCI_GER,CCI_JAP,CCI_MEX
1/1/1995,101.446,99.78362,100.8655,
2/1/1995,101.9429,99.71936,100.6017,
3/1/1995,102.3471,99.82658,100.3427,
4/1/1995,102.6162,99.94355,100.1427,
5/1/1995,102.7064,100.0184,100.053,
6/1/1995,102.6145,100.0695,100.047,
7/1/1995,102.3923,100.0521,100.1104,
8/1/1995,102.1343,99.92387,100.2472,
9/1/1995,101.9228,99.77692,100.416,
10/1/1995,101.8084,99.58134,100.5764,
11/1/1995,101.8139,99.29335,100.7028,
12/1/1995,101.9102,98.8968,100.8069,
1/1/1996,102.0449,98.47928,100.9028,
2/1/1996,102.1505,98.26254,100.9945,
3/1/1996,102.1829,98.26872,101.0712,
4/1/1996,102.154,98.26736,101.1067,
5/1/1996,102.0997,98.23156,101.0749,
6/1/1996,102.0393,98.22374,101.0054,
7/1/1996,101.9954,98.27735,100.9234,
8/1/1996,101.9497,98.38542,100.8287,
9/1/1996,101.9226,98.42767,100.6853,
10/1/1996,101.8791,98.35143,100.4253,
11/1/1996,101.7223,98.2257,100.0006,
12/1/1996,101.3015,98.10553,99.55167,
1/1/1997,100.6041,98.04208,99.28343,
2/1/1997,100.1067,97.97167,99.36574,
3/1/1997,99.87895,98.04889,99.65297,
4/1/1997,99.87308,98.19686,99.96745,
5/1/1997,100.0127,98.31899,100.178,
6/1/1997,100.199,98.3437,100.2511,
7/1/1997,100.344,98.41047,100.1318,
8/1/1997,100.3927,98.57549,99.7621,
9/1/1997,100.3508,98.76414,99.29176,
10/1/1997,100.271,98.91415,98.89922,
11/1/1997,100.2253,98.94118,98.71341,
12/1/1997,100.2465,98.91625,98.65774,
1/1/1998,100.2353,98.90392,98.63587,
2/1/1998,99.9042,98.96787,98.5874,
3/1/1998,99.37794,99.16403,98.50974,
4/1/1998,98.93546,99.34174,98.4151,
5/1/1998,98.49665,99.56412,98.31679,
6/1/1998,98.06482,99.89177,98.23237,
7/1/1998,97.78438,100.2568,98.19056,
8/1/1998,97.85287,100.4434,98.22422,
9/1/1998,98.03916,100.5898,98.32072,
10/1/1998,98.23859,100.751,98.47974,
11/1/1998,98.35602,100.7913,98.70814,
12/1/1998,98.52223,100.7045,98.95245,
1/1/1999,98.69925,100.6122,99.14474,
2/1/1999,98.79135,100.5034,99.23258,
3/1/1999,98.81456,100.2892,99.26108,
4/1/1999,98.87382,100.0647,99.285,
5/1/1999,99.00122,99.91917,99.34031,
6/1/1999,99.13139,99.87176,99.42023,
7/1/1999,99.21658,99.92021,99.51136,
8/1/1999,99.37382,99.97295,99.60523,
9/1/1999,99.48775,100.051,99.69854,
10/1/1999,99.5732,100.1776,99.79076,
11/1/1999,99.69596,100.2997,99.88223,
12/1/1999,99.85255,100.4317,99.97341,
1/1/2000,99.95152,100.5522,100.0648,
2/1/2000,100.038,100.6649,100.1572,
3/1/2000,100.1253,100.7357,100.2517,
4/1/2000,100.2127,100.7918,100.349,
5/1/2000,100.3018,100.8709,100.446,
6/1/2000,100.3785,100.7906,100.5301,
7/1/2000,100.4623,100.7831,100.5733,
8/1/2000,100.5648,100.7079,100.54,
9/1/2000,100.6745,100.4835,100.4352,
10/1/2000,100.7589,100.3552,100.2461,
11/1/2000,100.8276,100.4259,99.95544,
12/1/2000,100.8829,100.5338,99.6395,
1/1/2001,100.92,100.625,99.39271,
2/1/2001,100.9415,100.6262,99.27806,
3/1/2001,100.9892,100.5848,99.20808,
4/1/2001,101.0534,100.4174,99.05951,46.9
5/1/2001,101.0944,100.1049,98.74326,44.4
6/1/2001,101.152,99.7449,98.35301,44
7/1/2001,101.2,99.49746,98.02427,46.1
8/1/2001,101.158,99.34834,97.86748,47.4
9/1/2001,101.0864,99.29851,97.8396,44.7
10/1/2001,101.02,99.22421,97.90089,42.3
11/1/2001,100.9706,99.06173,98.04282,42.8
12/1/2001,100.9586,98.90094,98.22668,42.7
1/1/2002,100.9587,98.76247,98.42466,36.8
2/1/2002,100.9805,98.68141,98.61873,38.3
3/1/2002,101.0001,98.65314,98.78559,39.5
4/1/2002,101.0066,98.59879,98.88544,40.1
5/1/2002,101.0181,98.5669,98.87802,40.9
6/1/2002,101.0398,98.57588,98.80556,41
7/1/2002,101.0528,98.62659,98.70883,41.6
8/1/2002,101.0618,98.55849,98.60812,42.3
9/1/2002,101.0819,98.34578,98.50854,42
10/1/2002,101.1298,97.83791,98.40938,41.8
11/1/2002,101.2034,97.20349,98.31214,43.4
12/1/2002,101.2687,96.86024,98.22835,42.4
1/1/2003,101.2556,96.83781,98.18531,40.7
2/1/2003,100.9581,96.90913,98.21851,39.8
3/1/2003,100.1162,97.09446,98.32317,37.5
4/1/2003,98.74847,97.35889,98.51254,40.2
5/1/2003,97.92435,97.65822,98.80464,40.3
6/1/2003,98.04827,97.98276,99.12433,40.9
7/1/2003,98.64407,98.21215,99.37693,41
8/1/2003,99.23598,98.21465,99.49426,40.9
9/1/2003,99.65377,98.17648,99.54778,40.1
10/1/2003,99.96059,98.1947,99.63123,40.6
11/1/2003,100.1738,98.2384,99.80714,40.3
12/1/2003,100.3391,98.16888,100.0234,39.1
1/1/2004,100.4218,98.11995,100.2116,39.5
2/1/2004,100.4181,98.20124,100.345,40
3/1/2004,100.3073,98.20047,100.5249,39.1
4/1/2004,99.98649,98.15715,100.8467,39.9
5/1/2004,99.45023,98.13216,101.1386,40.5
6/1/2004,98.97292,98.15472,101.297,40.8
7/1/2004,98.81346,98.17038,101.599,39.6
8/1/2004,98.82627,98.23031,101.7206,39.2
9/1/2004,98.96726,98.30231,101.6416,40.1
10/1/2004,99.17705,98.28792,101.634,39.8
11/1/2004,99.41322,98.31643,101.5455,40.3
12/1/2004,99.61382,98.47036,101.3827,41.1
1/1/2005,99.77305,98.67983,101.4004,41.9
2/1/2005,99.91387,98.74206,101.3582,43.8
3/1/2005,100.0328,98.70908,101.2443,42.2
4/1/2005,100.0975,98.67145,101.3172,41.2
5/1/2005,100.1014,98.65633,101.3971,40.1
6/1/2005,100.103,98.62661,101.4508,40.9
7/1/2005,100.0827,98.63084,101.567,41
8/1/2005,100.0461,98.73669,101.5733,40.1
9/1/2005,99.97426,98.87253,101.4961,41.6
10/1/2005,99.89513,99.02987,101.6091,42.8
11/1/2005,99.88628,99.20458,101.7424,43.3
12/1/2005,99.94596,99.48999,101.8557,43.6
1/1/2006,99.96734,99.82513,102.0413,43.9
2/1/2006,99.92137,99.97905,102.0826,44.4
3/1/2006,99.90476,100.0441,101.9809,44.9
4/1/2006,99.87405,100.1278,101.9419,44.7
5/1/2006,99.87009,100.2109,101.8193,44.3
6/1/2006,99.91025,100.1408,101.647,44.2
7/1/2006,99.99224,99.99126,101.5976,44.8
8/1/2006,100.1581,99.84378,101.5237,44.7
9/1/2006,100.3772,99.72507,101.5008,44.8
10/1/2006,100.5404,99.65824,101.6546,45.3
11/1/2006,100.6769,99.74297,101.7722,44.3
12/1/2006,100.7567,99.93334,101.7794,44.1
1/1/2007,100.6929,100.1651,101.8425,42.6
2/1/2007,100.5802,100.4734,101.785,42.8
3/1/2007,100.5372,100.7997,101.573,43
4/1/2007,100.6596,101.146,101.373,43.3
5/1/2007,100.8279,101.4023,101.1328,43.6
6/1/2007,100.9586,101.4244,100.8639,43.1
7/1/2007,100.9821,101.24,100.6895,42.9
8/1/2007,100.9819,100.8915,100.5649,43.5
9/1/2007,100.9214,100.5628,100.3971,42.6
10/1/2007,100.832,100.3111,100.1146,42.2
11/1/2007,100.7549,100.0876,99.7254,41.9
12/1/2007,100.6787,99.98911,99.38004,42.2
1/1/2008,100.4568,99.94224,99.10252,42
2/1/2008,100.2025,99.89789,98.83392,41.6
3/1/2008,100.0603,99.87837,98.5179,41.5
4/1/2008,99.98918,99.80974,98.09501,40
5/1/2008,99.99453,99.54131,97.65415,39
6/1/2008,100.0125,99.1455,97.27945,37.7
7/1/2008,100.0014,98.74313,96.99734,36.5
8/1/2008,99.87556,98.51394,96.82215,36.7
9/1/2008,99.62703,98.40533,96.73645,36.2
10/1/2008,99.18121,98.2075,96.56456,35.1
11/1/2008,98.53453,97.98951,96.35992,35.8
12/1/2008,97.88151,97.7192,96.1656,34.6
1/1/2009,97.47132,97.55822,96.10918,34.2
2/1/2009,97.26295,97.458,96.26792,33.7
3/1/2009,97.17544,97.4171,96.69774,33.4
4/1/2009,97.20728,97.54289,97.32938,34.5
5/1/2009,97.31594,97.78419,98.00482,33.4
