date,2YS_CHI,10YS_CHI,Spread
2002-07-01,2.008,,
2002-08-01,2.039,,
2002-09-01,2.393,,
2002-10-01,2.383,,
2002-11-01,2.455,,
2002-12-01,2.452,,
2003-01-01,2.307,,
2003-02-01,2.316,,
2003-03-01,2.291,,
2003-04-01,2.238,,
2003-05-01,2.278,,
2003-06-01,2.353,,
2003-07-01,2.312,,
2003-08-01,2.406,,
2003-09-01,2.536,,
2003-10-01,2.837,,
2003-11-01,2.538,,
2003-12-01,2.667,,
2004-01-01,2.599,,
2004-02-01,2.631,,
2004-03-01,2.705,,
2004-04-01,3.314,,
2004-05-01,3.408,,
2004-06-01,3.297,,
2004-07-01,3.494,,
2004-08-01,3.385,,
2004-09-01,3.443,,
2004-10-01,3.487,,
2004-11-01,3.525,,
2004-12-01,3.151,,
2005-01-01,3.211,,
2005-02-01,2.782,,
2005-03-01,2.522,,
2005-04-01,2.364,,
2005-05-01,2.269,,
2005-06-01,1.997,,
2005-07-01,1.779,,
2005-08-01,1.745,,
2005-09-01,1.735,,
2005-10-01,1.681,,
2005-11-01,2.308,,
2005-12-01,1.785,,
2006-01-01,1.863,,
2006-02-01,1.743,,
2006-03-01,1.982,2.9,0.9179999999999999
2006-03-01,,2.9,
2006-03-01,,2.87,
2006-03-01,,2.93,
2006-03-01,,2.9,
2006-03-01,,2.88,
2006-03-01,,2.88,
2006-03-01,,2.89,
2006-03-01,,2.9,
2006-03-01,,2.9,
2006-03-01,,2.91,
2006-03-01,,2.91,
2006-03-01,,2.92,
2006-03-01,,2.93,
2006-03-01,,2.92,
2006-03-01,,2.93,
2006-03-01,,2.912,
2006-03-01,,2.9,
2006-03-01,,2.92,
2006-03-01,,2.92,
2006-03-01,,2.94,
2006-03-01,,2.94,
2006-03-01,,2.94,
2006-04-01,1.995,,
2006-04-01,,2.92,
2006-04-01,,2.92,
2006-04-01,,2.91,
2006-04-01,,2.94,
2006-04-01,,2.9291,
2006-04-01,,2.93,
2006-04-01,,2.97,
2006-04-01,,2.98,
2006-04-01,,2.9405,
2006-04-01,,2.95,
2006-04-01,,2.94,
2006-04-01,,3.01,
2006-04-01,,3.01,
2006-04-01,,3.0,
2006-04-01,,3.048,
2006-04-01,,3.05,
2006-04-01,,3.06,
2006-04-01,,3.05,
2006-04-01,,3.01,
2006-04-01,,3.01,
2006-04-01,,3.0,
2006-04-01,,3.0,
2006-05-01,2.129,,
2006-05-01,,3.02,
2006-05-01,,3.0,
2006-05-01,,3.0,
2006-05-01,,3.0,
2006-05-01,,3.02,
2006-05-01,,3.03,
2006-05-01,,3.02,
2006-05-01,,3.0,
2006-05-01,,3.0,
2006-05-01,,2.99,
2006-05-01,,3.0,
2006-05-01,,3.02,
2006-05-01,,3.0,
2006-05-01,,3.0,
2006-05-01,,3.0,
2006-05-01,,3.03,
2006-05-01,,3.02,
2006-05-01,,3.02,
2006-06-01,2.203,3.03,0.827
2006-06-01,,3.05,
2006-06-01,,3.03,
2006-06-01,,3.02,
2006-06-01,,3.05,
2006-06-01,,3.05,
2006-06-01,,3.03,
2006-06-01,,3.05,
2006-06-01,,3.08,
2006-06-01,,3.09,
2006-06-01,,3.1,
2006-06-01,,3.1,
2006-06-01,,3.12,
2006-06-01,,3.1,
2006-06-01,,3.15,
2006-06-01,,3.12,
2006-06-01,,3.13,
2006-06-01,,3.15,
2006-06-01,,3.15,
2006-06-01,,3.15,
2006-06-01,,3.15,
2006-06-01,,3.165,
2006-07-01,2.305,,
2006-07-01,,3.159,
2006-07-01,,3.15,
2006-07-01,,3.18,
2006-07-01,,3.172,
2006-07-01,,3.18,
2006-07-01,,3.1729,
2006-07-01,,3.1689,
2006-07-01,,3.2,
2006-07-01,,3.23,
2006-07-01,,3.235,
2006-07-01,,3.2,
2006-07-01,,3.2,
2006-07-01,,3.19,
2006-07-01,,3.2,
2006-07-01,,3.2,
2006-07-01,,3.25,
2006-07-01,,3.24,
2006-07-01,,3.25,
2006-07-01,,3.275,
2006-07-01,,3.25,
2006-07-01,,3.26,
2006-08-01,2.302,3.25,0.948
2006-08-01,,3.25,
2006-08-01,,3.24,
2006-08-01,,3.25,
2006-08-01,,3.25,
2006-08-01,,3.25,
2006-08-01,,3.26,
2006-08-01,,3.26,
2006-08-01,,3.255,
2006-08-01,,3.245,
2006-08-01,,3.245,
2006-08-01,,3.24,
2006-08-01,,3.24,
2006-08-01,,3.2,
2006-08-01,,3.26,
2006-08-01,,3.254,
2006-08-01,,3.251,
2006-08-01,,3.248,
2006-08-01,,3.2389,
2006-08-01,,3.256,
2006-08-01,,3.25,
2006-08-01,,3.24,
2006-08-01,,3.238,
2006-09-01,2.167,3.23,1.0630000000000002
2006-09-01,,3.23,
2006-09-01,,3.225,
2006-09-01,,3.21,
2006-09-01,,3.201,
2006-09-01,,3.2,
2006-09-01,,3.2,
2006-09-01,,3.18,
2006-09-01,,3.18,
2006-09-01,,3.172,
2006-09-01,,3.17,
2006-09-01,,3.155,
2006-09-01,,3.15,
2006-09-01,,3.13,
2006-09-01,,3.11,
2006-09-01,,3.05,
2006-09-01,,3.0,
2006-09-01,,3.0,
2006-09-01,,3.0,
2006-09-01,,3.0,
2006-09-01,,3.0,
2006-09-01,,2.999,
2006-10-01,2.192,,
2006-10-01,,3.0,
2006-10-01,,3.0,
2006-10-01,,2.99,
2006-10-01,,2.97,
2006-10-01,,2.9552,
2006-10-01,,2.9541,
2006-10-01,,2.9567,
2006-10-01,,2.9533,
2006-10-01,,2.9535,
2006-10-01,,2.954,
2006-10-01,,2.9523,
2006-10-01,,2.9492,
2006-10-01,,2.9385,
2006-10-01,,2.9498,
2006-10-01,,2.9374,
2006-10-01,,2.9397,
2006-10-01,,2.9406,
2006-10-01,,2.9512,
2006-11-01,2.251,2.9545,0.7035
2006-11-01,,2.9557,
2006-11-01,,2.9561,
2006-11-01,,2.9844,
2006-11-01,,2.989,
2006-11-01,,2.9781,
2006-11-01,,2.972,
2006-11-01,,2.9595,
2006-11-01,,2.9494,
2006-11-01,,2.9682,
2006-11-01,,2.9688,
2006-11-01,,2.9725,
2006-11-01,,2.9632,
2006-11-01,,2.9806,
2006-11-01,,2.9785,
2006-11-01,,3.0518,
2006-11-01,,3.0609,
2006-11-01,,3.0655,
2006-11-01,,3.02,
2006-11-01,,2.9886,
2006-11-01,,2.9811,
2006-11-01,,2.9781,
2006-12-01,2.273,2.9936,0.7205999999999997
2006-12-01,,2.9895,
2006-12-01,,2.9912,
2006-12-01,,2.9851,
2006-12-01,,2.9947,
2006-12-01,,3.0351,
2006-12-01,,3.0527,
2006-12-01,,3.0393,
2006-12-01,,3.0461,
2006-12-01,,3.0335,
2006-12-01,,3.0402,
2006-12-01,,3.0307,
2006-12-01,,3.0232,
2006-12-01,,3.0267,
2006-12-01,,3.0199,
2006-12-01,,3.0364,
2006-12-01,,3.0408,
2006-12-01,,3.0419,
2006-12-01,,3.0408,
2006-12-01,,3.026,
2006-12-01,,3.0202,
2006-12-01,,3.0204,
2006-12-01,,3.0269,
2007-01-01,2.164,,
2007-01-01,,3.0239,
2007-01-01,,3.0211,
2007-01-01,,3.0356,
2007-01-01,,3.0231,
2007-01-01,,3.0102,
2007-01-01,,3.0047,
2007-01-01,,3.0202,
2007-01-01,,3.0167,
2007-01-01,,3.0175,
2007-01-01,,3.0176,
2007-01-01,,3.0273,
2007-01-01,,3.032,
