date,10YS_GER,2YS_GER,Spread
1970-01-01,,7.616,
1970-02-01,,7.656,
1970-03-01,,8.216,
1970-04-01,,8.016,
1970-05-01,,8.306,
1970-06-01,,8.556,
1970-07-01,,7.836,
1970-08-01,,7.966,
1970-09-01,,8.246,
1970-10-01,,8.106,
1970-11-01,,7.886,
1970-12-01,,7.436,
1971-01-01,,7.136,
1971-02-01,,7.426,
1971-03-01,,7.556,
1971-04-01,,7.276,
1971-05-01,,7.426,
1971-06-01,,7.916,
1971-07-01,,7.826,
1971-08-01,,7.676,
1971-09-01,,7.596,
1971-10-01,,7.476,
1971-11-01,,7.376,
1971-12-01,,7.096,
1972-01-01,,6.396,
1972-02-01,,6.116,
1972-03-01,,6.216,
1972-04-01,,6.606,
1972-05-01,,6.436,
1972-06-01,,6.846,
1972-07-01,,6.956,
1972-08-01,,6.896,
1972-09-01,,6.666,
1972-10-01,,7.616,
1972-11-01,,7.786,
1972-12-01,,7.926,
1973-01-01,,7.596,
1973-02-01,,7.576,
1973-03-01,,8.006,
1973-04-01,,8.686,
1973-05-01,,9.316,
1973-06-01,,9.686,
1973-07-01,,10.116,
1973-08-01,,9.406,
1973-09-01,,9.726,
1973-10-01,,9.366,
1973-11-01,,9.516,
1973-12-01,,9.586,
1974-01-01,,9.396,
1974-02-01,,10.006,
1974-03-01,,10.166,
1974-04-01,,10.096,
1974-05-01,,9.896,
1974-06-01,,9.936,
1974-07-01,,9.896,
1974-08-01,,10.016,
1974-09-01,,10.076,
1974-10-01,,9.886,
1974-11-01,,9.286,
1974-12-01,,8.876,
1975-01-01,,7.976,
1975-02-01,,7.256,
1975-03-01,,7.236,
1975-04-01,,6.936,
1975-05-01,,6.696,
1975-06-01,,6.806,
1975-07-01,,6.766,
1975-08-01,,6.796,
1975-09-01,,6.836,
1975-10-01,,6.926,
1975-11-01,,6.866,
1975-12-01,,6.816,
1976-01-01,,6.536,
1976-02-01,,6.036,
1976-03-01,,5.936,
1976-04-01,,5.956,
1976-05-01,,6.306,
1976-06-01,,6.466,
1976-07-01,,6.846,
1976-08-01,,6.856,
1976-09-01,,6.746,
1976-10-01,,6.736,
1976-11-01,,6.166,
1976-12-01,,6.236,
1977-01-01,,6.116,
1977-02-01,,6.016,
1977-03-01,,5.596,
1977-04-01,,5.366,
1977-05-01,,5.216,
1977-06-01,,5.166,
1977-07-01,,4.996,
1977-08-01,,4.796,
1977-09-01,,4.786,
1977-10-01,,4.786,
1977-11-01,,4.776,
1977-12-01,,4.676,
1978-01-01,,4.426,
1978-02-01,,4.286,
1978-03-01,,4.226,
1978-04-01,,6.0744,
1978-05-01,,6.3462,
1978-06-01,,6.425,
1978-07-01,,6.4917,
1978-08-01,,6.5464,
1978-09-01,,6.5798,
1978-10-01,,6.8552,
1978-11-01,,7.0275,
1978-12-01,,6.9753,
1979-01-01,,6.9655,
1979-02-01,,7.3168,
1979-03-01,,7.5484,
1979-04-01,,8.1374,
1979-05-01,,8.6682,
1979-06-01,,8.5975,
1979-07-01,,8.6419,
1979-08-01,,8.6685,
1979-09-01,,8.9425,
1979-10-01,,9.4567,
1979-11-01,,9.5207,
1979-12-01,,9.7778,
1980-01-01,,9.9654,
1980-02-01,,10.2571,
1980-03-01,,10.977,
1980-04-01,,11.2313,
1980-05-01,,10.5917,
1980-06-01,,9.9921,
1980-07-01,,9.8963,
1980-08-01,,9.8564,
1980-09-01,,10.0167,
1980-10-01,,10.2366,
1980-11-01,,10.6568,
1980-12-01,,10.6584,
1981-01-01,,10.7358,
1981-02-01,,11.4734,
1981-03-01,,11.9946,
1981-04-01,,11.816,
1981-05-01,,12.4667,
1981-06-01,,12.7107,
1981-07-01,,12.5176,
1981-08-01,,12.859,
1981-09-01,,12.9617,
1981-10-01,,11.7392,
1981-11-01,,11.3779,
1981-12-01,,11.2875,
1982-01-01,,11.0675,
1982-02-01,,11.4381,
1982-03-01,,11.0384,
1982-04-01,,10.7262,
1982-05-01,,10.4483,
1982-06-01,,10.7516,
1982-07-01,,10.8799,
1982-08-01,,10.5495,
1982-09-01,,10.0615,
1982-10-01,,9.8395,
1982-11-01,,9.853,
1982-12-01,,9.2426,
1983-01-01,,8.9312,
1983-02-01,,8.9229,
1983-03-01,,8.5448,
1983-04-01,,8.6998,
1983-05-01,,9.0626,
1983-06-01,,9.6816,
1983-07-01,,9.6603,
1983-08-01,,10.1067,
1983-09-01,,10.0872,
1983-10-01,,10.0221,
1983-11-01,,10.2057,
1983-12-01,,10.1097,
1984-01-01,,9.5661,
1984-02-01,,9.4694,
1984-03-01,,9.1687,
1984-04-01,,9.1838,
1984-05-01,,9.4731,
1984-06-01,,9.4232,
1984-07-01,,9.3585,
1984-08-01,,9.255,
