"date","price","Open","High","Low","Change %"
"05/01/1990","6.571","6.571","6.571","6.571","-7.49%"
"06/01/1990","6.923","6.923","6.923","6.923","5.36%"
"07/01/1990","6.980","6.980","6.980","6.980","0.82%"
"08/01/1990","7.571","7.571","7.571","7.571","8.47%"
"09/01/1990","8.451","8.451","8.451","8.451","11.62%"
"10/01/1990","7.400","7.400","7.400","7.400","-12.44%"
"11/01/1990","7.120","7.120","7.120","7.120","-3.78%"
"12/01/1990","7.024","7.024","7.024","7.024","-1.35%"
"01/01/1991","6.890","6.890","6.890","6.890","-1.91%"
"02/01/1991","6.600","6.600","6.600","6.600","-4.21%"
"03/01/1991","6.800","6.800","6.800","6.800","3.03%"
"04/01/1991","6.910","6.910","6.910","6.910","1.62%"
"05/01/1991","6.730","6.730","6.730","6.730","-2.60%"
"06/01/1991","6.980","6.980","6.980","6.980","3.71%"
"07/01/1991","6.680","6.680","6.680","6.680","-4.30%"
"08/01/1991","6.339","6.339","6.339","6.339","-5.10%"
"09/01/1991","5.730","5.730","5.730","5.730","-9.61%"
"10/01/1991","5.522","5.522","5.522","5.522","-3.63%"
"11/01/1991","5.481","5.481","5.481","5.481","-0.74%"
"12/01/1991","5.025","5.025","5.025","5.025","-8.32%"
"01/01/1992","4.517","4.517","4.517","4.517","-10.11%"
"02/01/1992","4.579","4.579","4.579","4.579","1.37%"
"03/01/1992","4.556","4.556","4.556","4.556","-0.50%"
"04/01/1992","4.524","4.524","4.524","4.524","-0.70%"
"05/01/1992","1.415","1.415","1.415","1.415","-68.72%"
"06/01/1992","4.373","4.373","4.373","4.373","209.05%"
"07/01/1992","3.967","3.967","3.967","3.967","-9.28%"
"08/01/1992","3.701","3.701","3.701","3.701","-6.71%"
"09/01/1992","3.720","3.720","3.720","3.720","0.51%"
"10/01/1992","3.479","3.479","3.479","3.479","-6.48%"
"11/01/1992","3.563","3.563","3.563","3.563","2.41%"
"12/01/1992","1.243","1.243","1.243","1.243","-65.11%"
"01/01/1993","3.332","3.332","3.332","3.332","168.06%"
"02/01/1993","2.986","2.986","2.986","2.986","-10.38%"
"03/01/1993","3.456","3.456","3.456","3.456","15.74%"
"04/01/1993","3.302","3.302","3.302","3.302","-4.46%"
"05/01/1993","3.430","3.430","3.430","3.430","3.88%"
"06/01/1993","3.026","3.026","3.026","3.026","-11.78%"
"07/01/1993","2.905","2.905","2.905","2.905","-4.00%"
"08/01/1993","2.756","2.756","2.756","2.756","-5.13%"
"09/01/1993","2.516","2.516","2.516","2.516","-8.71%"
"10/01/1993","2.063","2.063","2.063","2.063","-18.00%"
"11/01/1993","1.679","1.679","1.679","1.679","-18.61%"
"12/01/1993","1.547","1.547","1.547","1.547","-7.86%"
"01/01/1994","2.159","2.159","2.159","2.159","39.56%"
"02/01/1994","2.414","2.414","2.414","2.414","11.81%"
"03/01/1994","2.438","2.438","2.438","2.438","0.99%"
"04/01/1994","2.460","2.460","2.460","2.460","0.90%"
"05/01/1994","2.380","2.380","2.380","2.380","-3.25%"
"06/01/1994","2.539","2.539","2.539","2.539","6.68%"
"07/01/1994","2.592","2.592","2.592","2.592","2.09%"
"08/01/1994","3.011","3.011","3.011","3.011","16.17%"
"09/01/1994","2.763","2.763","2.763","2.763","-8.24%"
"10/01/1994","3.023","3.023","3.023","3.023","9.41%"
"11/01/1994","2.863","2.863","2.863","2.863","-5.29%"
"12/01/1994","2.840","2.840","2.840","2.840","-0.80%"
"01/01/1995","2.685","2.685","2.685","2.685","-5.46%"
"02/01/1995","2.490","2.490","2.490","2.490","-7.26%"
"03/01/1995","1.832","1.832","1.832","1.832","-26.43%"
"04/01/1995","1.611","1.611","1.611","1.611","-12.06%"
"05/01/1995","0.955","0.955","0.955","0.955","-40.72%"
"06/01/1995","1.235","1.235","1.235","1.235","29.32%"
"07/01/1995","1.056","1.056","1.056","1.056","-14.49%"
"08/01/1995","1.147","1.147","1.147","1.147","8.62%"
"09/01/1995","0.648","0.648","0.648","0.648","-43.50%"
