date,Inflation
1914-01-01,2.041
1914-02-01,1.02
1914-03-01,1.02
1914-04-01,0.0
1914-05-01,2.062
1914-06-01,1.02
1914-07-01,1.01
1914-08-01,3.0300000000000002
1914-09-01,2.0
1914-10-01,1.0
1914-11-01,0.9900000000000001
1914-12-01,1.0
1915-01-01,1.0
1915-02-01,1.01
1915-03-01,0.0
1915-04-01,2.041
1915-05-01,2.02
1915-06-01,2.02
1915-07-01,1.0
1915-08-01,-0.98
1915-09-01,-0.98
1915-10-01,0.9900000000000001
1915-11-01,0.98
1915-12-01,1.9800000000000002
1916-01-01,2.97
1916-02-01,4.0
1916-03-01,6.061
1916-04-01,6.0
1916-05-01,5.941
1916-06-01,6.931
1916-07-01,6.931
1916-08-01,7.921
1916-09-01,9.901
1916-10-01,10.784
1916-11-01,11.65
1916-12-01,12.620999999999999
1917-01-01,12.5
1917-02-01,15.384999999999998
1917-03-01,14.285999999999998
1917-04-01,18.868
1917-05-01,19.625999999999998
1917-06-01,20.369999999999997
1917-07-01,18.519
1917-08-01,19.266
1917-09-01,19.82
1917-10-01,19.469
1917-11-01,17.391000000000002
1917-12-01,18.102999999999998
1918-01-01,19.658
1918-02-01,17.5
1918-03-01,16.667
1918-04-01,12.698
1918-05-01,13.281
1918-06-01,13.077
1918-07-01,17.968999999999998
1918-08-01,18.462
1918-09-01,18.045
1918-10-01,18.519
1918-11-01,20.741
1918-12-01,20.438000000000002
1919-01-01,17.857
1919-02-01,14.893999999999998
1919-03-01,17.143
1919-04-01,17.605999999999998
1919-05-01,16.552
1919-06-01,14.966
1919-07-01,15.232000000000001
1919-08-01,14.935
1919-09-01,13.376
1919-10-01,13.125
1919-11-01,13.497
1919-12-01,14.545
1920-01-01,16.97
1920-02-01,20.369999999999997
1920-03-01,20.122
1920-04-01,21.557000000000002
1920-05-01,21.893
1920-06-01,23.669
1920-07-01,19.54
1920-08-01,14.689
1920-09-01,12.36
1920-10-01,9.945
1920-11-01,7.027
1920-12-01,2.646
1921-01-01,-1.554
1921-02-01,-5.641
1921-03-01,-7.106999999999999
1921-04-01,-10.837
1921-05-01,-14.078
1921-06-01,-15.789
1921-07-01,-14.904
1921-08-01,-12.808
1921-09-01,-12.5
1921-10-01,-12.06
1921-11-01,-12.121
