date,EPU_MEX,IP_MEX,INF_YoY_MEX,GDP_MEX,2YS_MEX,1OYS_MEX,EXR_MEX,UNEMP_MEX,GDPC_MEX,IM_MEX,EX_MEX,RECESS_MEX,INF_MEX
1950-01-01,,,,,,,0.00865,,,,,,
1951-01-01,,,,,,,0.008651,,,,,,
1952-01-01,0.0,,,,,,0.008652,,,,,,
1952-04-01,0.0,,,,,,,,,,,,
1952-07-01,0.0,,,,,,,,,,,,
1952-10-01,0.1138174,,,,,,,,,,,,
1953-01-01,0.0,,,,,,0.008651,,,,,,
1953-04-01,0.0,,,,,,,,,,,,
1953-07-01,0.0,,,,,,,,,,,,
1953-10-01,0.0,,,,,,,,,,,,
1954-01-01,0.0,,,,,,0.01135,,,,,,
1954-04-01,0.069979,,,,,,,,,,,,
1954-07-01,0.129887,,,,,,,,,,,,
1954-10-01,0.1397038,,,,,,,,,,,,
1955-01-01,0.1801477,,,,,,0.0125,,,,,,
1955-04-01,0.2501876,,,,,,,,,,,,
1955-07-01,0.0,,,,,,,,,,,,
1955-10-01,0.0,,,,,,,,,,,,
1956-01-01,0.0,,,,,,0.0125,,,,,,
1956-04-01,0.2140869,,,,,,,,,,,,
1956-07-01,0.0,,,,,,,,,,,,
1956-10-01,0.0,,,,,,,,,,,,
1957-01-01,0.1395673,,,,,,0.0125,,,,,,
1957-04-01,0.0,,,,,,,,,,,,
1957-07-01,0.0,,,,,,,,,,,,
1957-10-01,0.1835199,,,,,,,,,,,,
1958-01-01,0.1475797,,,,,,0.0125,,,,,,
1958-04-01,0.1560793,,,,,,,,,,,,
1958-07-01,0.1468213,,,,,,,,,,,,
1958-10-01,0.0,,,,,,,,,,,,
1959-01-01,0.1337435,,,,,,0.0125,,,,,,
1959-04-01,0.1680108,,,,,,,,,,,,
1959-07-01,0.0,,,,,,,,,,,,
1959-10-01,0.1692047,,,,,,,,,,,,
1960-01-01,0.0,,4.92751886903116,,,,0.0125,,4145.79302184391,,,,
1960-02-01,,,,,,,,,,,,1.0,
1960-03-01,,,,,,,,,,,,1.0,
1960-04-01,0.0,,,,,,,,,,,1.0,
