date,10YS_JAP,2YS_JAP,Spread
1990-01-01,6.449,,
1990-02-01,6.778,,
1990-03-01,6.899,,
1990-04-01,6.906000000000001,,
1990-05-01,6.507999999999999,6.571,-0.06300000000000061
1990-06-01,6.421,6.923,-0.5019999999999998
1990-07-01,6.772,6.98,-0.20800000000000018
1990-08-01,7.62,7.571,0.04900000000000038
1990-09-01,8.032,8.451,-0.4190000000000005
1990-10-01,7.6,7.4,0.1999999999999993
1990-11-01,7.08,7.12,-0.040000000000000036
1990-12-01,6.454,7.024,-0.5700000000000003
1991-01-01,6.432,6.89,-0.4579999999999993
1991-02-01,6.309,6.6,-0.2909999999999995
1991-03-01,6.591,6.8,-0.20899999999999963
1991-04-01,6.64,6.91,-0.27000000000000046
1991-05-01,6.6370000000000005,6.73,-0.09299999999999997
1991-06-01,6.735,6.98,-0.2450000000000001
1991-07-01,6.67,6.68,-0.009999999999999787
1991-08-01,6.414,6.339,0.07499999999999929
1991-09-01,6.081,5.73,0.351
1991-10-01,5.885,5.522,0.36299999999999955
1991-11-01,5.9270000000000005,5.481,0.4460000000000006
1991-12-01,5.718999999999999,5.025,0.6939999999999991
1992-01-01,5.449,4.517,0.9319999999999995
1992-02-01,5.577999999999999,4.579,0.9989999999999997
1992-03-01,5.531000000000001,4.556,0.9750000000000005
1992-04-01,5.71,4.524,1.186
1992-05-01,5.739,1.415,4.324
1992-06-01,5.64,4.373,1.2669999999999995
1992-07-01,5.408,3.967,1.4410000000000003
1992-08-01,5.112,3.701,1.411
1992-09-01,5.021,3.72,1.3009999999999997
1992-10-01,5.015,3.479,1.5359999999999996
1992-11-01,4.868,3.563,1.3050000000000002
1992-12-01,4.848,1.243,3.6049999999999995
1993-01-01,4.723,3.332,1.391
1993-02-01,4.409,2.986,1.4229999999999996
1993-03-01,4.3180000000000005,3.456,0.8620000000000005
1993-04-01,4.593,3.302,1.291
1993-05-01,4.9430000000000005,3.43,1.5130000000000003
1993-06-01,4.836,3.026,1.8100000000000005
1993-07-01,4.517,2.905,1.6120000000000005
1993-08-01,4.407,2.756,1.6510000000000002
1993-09-01,4.016,2.516,1.5
1993-10-01,3.931,2.063,1.8679999999999999
1993-11-01,3.762,1.679,2.083
1993-12-01,3.3960000000000004,1.547,1.8490000000000004
1994-01-01,3.597,2.159,1.4380000000000002
1994-02-01,4.041,2.414,1.6270000000000002
1994-03-01,4.453,2.438,2.015
1994-04-01,4.093,2.46,1.633
1994-05-01,3.984,2.38,1.604
1994-06-01,4.2780000000000005,2.539,1.7390000000000003
1994-07-01,4.531000000000001,2.592,1.9390000000000005
1994-08-01,4.7780000000000005,3.011,1.7670000000000003
1994-09-01,4.642,2.763,1.8790000000000004
1994-10-01,4.684,3.023,1.661
1994-11-01,4.718,2.863,1.855
1994-12-01,4.561,2.84,1.721
1995-01-01,4.605,2.685,1.9200000000000004
1995-02-01,4.515,2.49,2.0249999999999995
1995-03-01,4.113,1.832,2.2810000000000006
1995-04-01,3.545,1.611,1.934
1995-05-01,3.386,0.955,2.431
1995-06-01,3.024,1.235,1.789
1995-07-01,2.9330000000000003,1.056,1.8770000000000002
1995-08-01,3.215,1.147,2.0679999999999996
1995-09-01,3.03,0.648,2.3819999999999997
1995-10-01,2.925,0.59,2.335
1995-11-01,3.048,0.412,2.636
1995-12-01,2.983,0.747,2.236
1996-01-01,3.12,0.914,2.206
1996-02-01,3.2710000000000004,1.246,2.0250000000000004
1996-03-01,3.299,1.006,2.293
1996-04-01,3.301,1.293,2.008
1996-05-01,3.388,1.008,2.38
1996-06-01,3.252,1.119,2.133
1996-07-01,3.294,1.251,2.043
1996-08-01,3.209,0.78,2.4290000000000003
1996-09-01,2.928,0.84,2.088
1996-10-01,2.8,0.587,2.213
1996-11-01,2.759,0.56,2.199
1996-12-01,2.597,0.671,1.926
1997-01-01,2.632,0.552,2.08
1997-02-01,2.583,0.52,2.063
1997-03-01,2.524,0.701,1.823
1997-04-01,2.382,0.881,1.5010000000000001
1997-05-01,2.736,1.054,1.6820000000000002
1997-06-01,2.684,0.894,1.79
1997-07-01,2.505,0.667,1.8379999999999999
1997-08-01,2.354,0.515,1.839
1997-09-01,2.21,0.59,1.62
1997-10-01,1.994,0.505,1.4889999999999999
1997-11-01,1.941,0.435,1.506
1997-12-01,1.939,0.625,1.314
1998-01-01,1.948,0.75,1.198
1998-02-01,2.0,0.615,1.385
1998-03-01,1.855,0.595,1.26
1998-04-01,1.867,0.485,1.3820000000000001
1998-05-01,1.655,0.4,1.255
1998-06-01,1.54,0.56,0.98
1998-07-01,1.683,0.505,1.178
1998-08-01,1.5019999999999998,0.4,1.1019999999999999
1998-09-01,1.103,0.355,0.748
1998-10-01,0.879,0.275,0.604
1998-11-01,0.977,0.277,0.7
1998-12-01,1.4880000000000002,0.732,0.7560000000000002
1999-01-01,1.91,0.591,1.319
1999-02-01,2.117,0.288,1.829
1999-03-01,1.816,0.233,1.583
1999-04-01,1.5630000000000002,0.076,1.487
1999-05-01,1.334,0.071,1.2630000000000001
1999-06-01,1.632,0.403,1.2289999999999999
1999-07-01,1.703,0.295,1.4080000000000001
1999-08-01,1.878,0.12,1.758
1999-09-01,1.759,0.21,1.549
1999-10-01,1.692,0.135,1.557
1999-11-01,1.817,0.265,1.552
1999-12-01,1.767,0.249,1.5179999999999998
2000-01-01,1.6909999999999998,0.296,1.3949999999999998
2000-02-01,1.796,0.289,1.5070000000000001
2000-03-01,1.819,0.413,1.406
2000-04-01,1.74,0.339,1.401
2000-05-01,1.705,0.294,1.411
2000-06-01,1.664,0.449,1.2149999999999999
2000-07-01,1.689,0.335,1.354
2000-08-01,1.75,0.534,1.216
2000-09-01,1.876,0.6,1.2759999999999998
2000-10-01,1.815,0.489,1.326
2000-11-01,1.764,0.478,1.286
2000-12-01,1.624,0.47,1.1540000000000001
2001-01-01,1.508,0.356,1.1520000000000001
2001-02-01,1.415,0.22,1.195
2001-03-01,1.169,0.16,1.0090000000000001
2001-04-01,1.315,0.105,1.21
2001-05-01,1.25,0.06,1.19
2001-06-01,1.152,0.08,1.0719999999999998
2001-07-01,1.305,0.11,1.1949999999999998
2001-08-01,1.3430000000000002,0.085,1.2580000000000002
2001-09-01,1.346,0.115,1.231
2001-10-01,1.3630000000000002,0.115,1.2480000000000002
2001-11-01,1.328,0.145,1.183
2001-12-01,1.334,0.12,1.214
2002-01-01,1.42,0.14,1.2799999999999998
2002-02-01,1.501,0.125,1.376
2002-03-01,1.421,0.085,1.336
2002-04-01,1.394,0.065,1.329
2002-05-01,1.365,0.06,1.305
2002-06-01,1.328,0.085,1.243
2002-07-01,1.296,0.06,1.236
2002-08-01,1.255,0.01,1.2449999999999999
2002-09-01,1.129,0.06,1.069
2002-10-01,1.095,0.045,1.05
2002-11-01,0.979,0.07,0.909
2002-12-01,0.975,0.07,0.905
2003-01-01,0.836,0.05,0.7859999999999999
2003-02-01,0.828,0.05,0.7779999999999999
2003-03-01,0.7240000000000001,0.07,0.6540000000000001
2003-04-01,0.6629999999999999,0.05,0.6129999999999999
2003-05-01,0.5770000000000001,0.03,0.547
2003-06-01,0.529,0.105,0.42400000000000004
2003-07-01,0.956,0.08,0.876
2003-08-01,1.406,0.2,1.206
2003-09-01,1.42,0.22,1.2
2003-10-01,1.4369999999999998,0.155,1.2819999999999998
2003-11-01,1.3330000000000002,0.125,1.2080000000000002
2003-12-01,1.33,0.11,1.22
2004-01-01,1.33,0.085,1.245
2004-02-01,1.211,0.055,1.1560000000000001
2004-03-01,1.418,0.145,1.273
2004-04-01,1.52,0.16,1.36
2004-05-01,1.505,0.145,1.3599999999999999
2004-06-01,1.807,0.235,1.572
2004-07-01,1.808,0.22,1.588
2004-08-01,1.588,0.16,1.4280000000000002
2004-09-01,1.393,0.151,1.242
2004-10-01,1.483,0.125,1.358
2004-11-01,1.452,0.09,1.3619999999999999
