date,10YS_MEX,2YS_MEX,Spread
1990-11-01,,25.57,
1990-12-01,,25.13,
1991-01-01,,24.61,
1991-02-01,,24.4,
1991-03-01,,23.0,
1991-04-01,,21.93,
1991-05-01,,20.06,
1991-06-01,,18.52,
1991-07-01,,18.38,
1991-08-01,,17.55,
1991-09-01,,17.95,
1991-10-01,,17.25,
1991-11-01,,16.62,
1991-12-01,,16.36,
1992-01-01,,15.71,
1992-02-01,,15.27,
1992-03-01,,12.36,
1992-04-01,,11.82,
1992-05-01,,12.99,
1992-06-01,,14.42,
1992-07-01,,16.5,
1992-08-01,,17.95,
1992-09-01,,19.26,
1992-10-01,,19.34,
1992-11-01,,18.7,
1992-12-01,,18.96,
1993-01-01,,18.99,
1993-02-01,,19.72,
1993-03-01,,18.84,
1993-04-01,,17.16,
1993-05-01,,16.74,
1993-06-01,,16.45,
1993-07-01,,14.74,
1993-08-01,,13.99,
1993-09-01,,13.41,
1993-10-01,,13.2,
1993-11-01,,12.37,
1993-12-01,,11.03,
1994-01-01,,10.72,
1994-02-01,,10.53,
1994-03-01,,11.37,
1994-04-01,,15.16,
1994-05-01,,16.41,
1994-06-01,,15.57,
1994-07-01,,16.33,
1994-08-01,,13.41,
1994-09-01,,13.39,
1994-10-01,,13.63,
1994-11-01,,14.28,
1994-12-01,,15.12,
1995-01-01,,35.48,
1995-02-01,,36.19,
1995-03-01,,48.02,
1995-04-01,,,
1995-05-01,,,
1995-06-01,,,
1995-07-01,,37.11,
1995-08-01,,36.6,
1995-09-01,,36.11,
1995-10-01,,40.43,
1995-11-01,,,
1995-12-01,,,
1996-01-01,,40.91,
1996-02-01,,43.11,
1996-03-01,,43.77,
1996-04-01,,38.09,
1996-05-01,,34.5,
1996-06-01,,33.56,
1996-07-01,,34.84,
1996-08-01,,32.74,
1996-09-01,,30.25,
1996-10-01,,28.13,
1996-11-01,,26.97,
1996-12-01,,25.71,
1997-01-01,,25.94,
1997-02-01,,24.14,
1997-03-01,,24.1,
1997-04-01,,24.14,
1997-05-01,,23.06,
1997-06-01,,22.61,
1997-07-01,,20.73,
1997-08-01,,21.18,
1997-09-01,,21.22,
1997-10-01,,20.13,
1997-11-01,,22.05,
1997-12-01,,20.04,
1998-01-01,,19.95,
1998-02-01,,20.47,
1998-03-01,,21.43,
1998-04-01,,20.52,
1998-05-01,,21.0,
1998-06-01,,23.2,
1998-07-01,,24.49,
1998-08-01,,27.99,
1998-09-01,,,
1998-10-01,,,
1998-11-01,,,
1998-12-01,,,
1999-01-01,,31.27,
1999-02-01,,28.29,
1999-03-01,,25.1,
1999-04-01,,23.26,
1999-05-01,,22.74,
1999-06-01,,23.55,
1999-07-01,,23.58,
1999-08-01,,25.46,
1999-09-01,,24.01,
1999-10-01,,22.88,
1999-11-01,,20.63,
1999-12-01,,18.76,
2000-01-01,,18.82,
2000-02-01,,17.27,
2000-03-01,,15.89,
2000-04-01,,17.04,
2000-05-01,,17.61,
2000-06-01,,16.88,
2000-07-01,,15.84,
2000-08-01,,16.95,
2000-09-01,,16.11,
2000-10-01,,16.66,
2000-11-01,,17.12,
2000-12-01,,17.12,
2001-01-01,,17.89,
2001-02-01,,18.05,
2001-03-01,,16.68,
2001-04-01,,15.52,
2001-05-01,,14.24,
2001-06-01,,11.99,
2001-07-01,10.9,12.82,-1.92
2001-08-01,,11.49,
2001-09-01,,12.49,
2001-10-01,11.09,12.84,-1.75
2001-11-01,,11.43,
2001-12-01,10.28,10.08,0.1999999999999993
2002-01-01,9.98,9.1,0.8800000000000008
2002-02-01,9.93,9.11,0.8200000000000003
2002-03-01,9.72,8.02,1.700000000000001
2002-04-01,9.85,7.34,2.51
2002-05-01,9.2,7.73,1.4699999999999989
2002-06-01,9.95,8.12,1.83
2002-07-01,10.17,8.79,1.3800000000000008
2002-08-01,10.23,8.56,1.67
2002-09-01,10.22,8.51,1.7100000000000009
2002-10-01,11.17,9.67,1.5
2002-11-01,10.96,9.17,1.790000000000001
2002-12-01,10.12,8.41,1.709999999999999
2003-01-01,10.12,9.84,0.27999999999999936
2003-02-01,10.09,9.19,0.9000000000000004
2003-03-01,10.58,9.12,1.4600000000000009
2003-04-01,9.53,8.33,1.1999999999999993
2003-05-01,8.49,6.6,1.8900000000000006
2003-06-01,8.07,6.51,1.5600000000000005
2003-07-01,8.74,6.59,2.1500000000000004
2003-08-01,8.88,6.63,2.250000000000001
2003-09-01,8.37,6.31,2.0599999999999996
2003-10-01,8.24,5.92,2.3200000000000003
2003-11-01,8.35,6.42,1.9299999999999997
2003-12-01,8.32,6.95,1.37
2004-01-01,8.32,5.76,2.5600000000000005
2004-02-01,8.38,6.26,2.120000000000001
2004-03-01,8.6,6.66,1.9399999999999995
2004-04-01,8.92,6.18,2.74
2004-05-01,10.1,8.08,2.0199999999999996
2004-06-01,10.3,8.23,2.0700000000000003
2004-07-01,9.78,8.25,1.5299999999999994
2004-08-01,10.03,8.55,1.4799999999999986
2004-09-01,10.27,8.56,1.709999999999999
2004-10-01,9.69,8.7,0.9900000000000002
2004-11-01,10.35,9.08,1.2699999999999996
2004-12-01,9.72,8.61,1.1100000000000012
2005-01-01,10.02,8.61,1.4100000000000001
2005-02-01,9.62,9.24,0.379999999999999
2005-03-01,10.26,9.88,0.379999999999999
2005-04-01,10.41,10.3,0.10999999999999943
2005-05-01,9.84,10.18,-0.33999999999999986
2005-06-01,9.56,9.71,-0.15000000000000036
2005-07-01,9.37,9.59,-0.22000000000000064
2005-08-01,9.4,9.63,-0.23000000000000043
2005-09-01,8.5,8.94,-0.4399999999999995
2005-10-01,8.85,8.81,0.03999999999999915
2005-11-01,8.73,8.55,0.17999999999999972
2005-12-01,8.45,7.92,0.5299999999999994
2006-01-01,8.25,7.7,0.5499999999999998
2006-02-01,8.21,7.52,0.6900000000000013
2006-03-01,8.25,7.57,0.6799999999999997
2006-04-01,8.57,7.71,0.8600000000000003
2006-05-01,8.81,7.44,1.37
2006-06-01,9.73,7.56,2.170000000000001
2006-07-01,8.69,7.51,1.1799999999999997
2006-08-01,8.08,7.48,0.5999999999999996
2006-09-01,8.23,7.53,0.7000000000000002
2006-10-01,8.4,7.5,0.9000000000000004
2006-11-01,7.88,7.28,0.5999999999999996
2006-12-01,7.56,7.27,0.29000000000000004
2007-01-01,7.43,7.46,-0.03000000000000025
2007-02-01,7.96,7.38,0.5800000000000001
2007-03-01,7.82,7.52,0.3000000000000007
2007-04-01,7.62,7.38,0.2400000000000002
2007-05-01,7.7,7.6,0.10000000000000053
2007-06-01,7.56,7.58,-0.020000000000000462
2007-07-01,7.62,7.51,0.11000000000000032
2007-08-01,7.9,7.63,0.27000000000000046
2007-09-01,7.88,7.7,0.17999999999999972
2007-10-01,,7.65,
2007-11-01,7.93,7.88,0.04999999999999982
2007-12-01,8.09,7.85,0.2400000000000002
2008-01-01,7.65,7.82,-0.16999999999999993
2008-02-01,,7.43,
2008-03-01,7.53,7.5,0.03000000000000025
2008-04-01,7.72,7.6,0.1200000000000001
2008-05-01,,7.85,
2008-06-01,8.25,7.89,0.3600000000000003
2008-07-01,9.26,8.65,0.6099999999999994
2008-08-01,8.55,8.72,-0.16999999999999993
2008-09-01,,8.66,
2008-10-01,8.5,8.37,0.13000000000000078
2008-11-01,9.82,8.51,1.3100000000000005
2008-12-01,7.99,8.07,-0.08000000000000007
2009-01-01,,7.24,
2009-02-01,8.24,7.16,1.08
2009-03-01,7.75,7.48,0.2699999999999996
2009-04-01,,6.13,
2009-05-01,7.55,5.41,2.1399999999999997
2009-06-01,8.22,5.2,3.0200000000000005
2009-07-01,8.09,5.12,2.9699999999999998
2009-08-01,,5.13,
2009-09-01,8.0,5.36,2.6399999999999997
2009-10-01,8.05,5.39,2.660000000000001
2009-11-01,,5.23,
2009-12-01,7.81,5.07,2.7399999999999993
2010-01-01,,4.99,
2010-02-01,7.66,5.0,2.66
2010-03-01,,5.08,
2010-04-01,7.54,5.09,2.45
2010-05-01,7.49,4.96,2.5300000000000002
2010-06-01,,4.86,
2010-07-01,6.88,4.8,2.08
2010-08-01,6.49,4.78,1.71
2010-09-01,6.25,4.74,1.5099999999999998
2010-10-01,,4.66,
2010-11-01,6.13,4.52,1.6100000000000003
2010-12-01,7.16,4.86,2.3
2011-01-01,,4.76,
2011-02-01,,4.82,
2011-03-01,,4.75,
2011-04-01,7.28,4.93,2.3500000000000005
2011-05-01,,4.84,
2011-06-01,6.92,4.72,2.2
2011-07-01,6.9,4.65,2.25
2011-08-01,5.78,4.52,1.2600000000000007
2011-09-01,,4.46,
2011-10-01,6.85,4.4,2.4499999999999993
2011-11-01,6.38,4.47,1.9100000000000001
2011-12-01,6.46,4.57,1.8899999999999997
2012-01-01,,4.71,
2012-02-01,,4.6,
2012-03-01,,4.64,
2012-04-01,,4.57,
2012-05-01,6.22,4.61,1.6099999999999994
2012-06-01,5.94,4.61,1.33
2012-07-01,5.12,4.58,0.54
2012-08-01,,4.59,
2012-09-01,5.44,4.59,0.8500000000000005
2012-10-01,5.35,4.64,0.71
2012-11-01,5.52,4.76,0.7599999999999998
2012-12-01,,4.62,
2013-01-01,5.47,4.59,0.8799999999999999
2013-02-01,5.03,4.32,0.71
2013-03-01,,4.22,
2013-04-01,5.0,4.11,0.8899999999999997
2013-05-01,4.64,3.98,0.6599999999999997
2013-06-01,6.2,4.08,2.12
2013-07-01,,4.01,
2013-08-01,5.93,4.0,1.9299999999999997
2013-09-01,6.13,3.71,2.42
2013-10-01,5.97,3.53,2.44
2013-11-01,,3.6,
2013-12-01,6.33,3.64,2.69
2014-01-01,6.46,3.66,2.8
2014-02-01,,3.78,
2014-03-01,6.32,3.68,2.64
2014-04-01,6.15,3.66,2.49
2014-05-01,5.87,3.61,2.2600000000000002
2014-06-01,,3.1,
2014-07-01,5.69,3.03,2.6600000000000006
2014-08-01,5.65,3.01,2.6400000000000006
2014-09-01,,3.09,
2014-10-01,6.08,3.17,2.91
2014-11-01,5.98,3.17,2.8100000000000005
2014-12-01,5.9,3.22,2.68
2015-01-01,,3.23,
2015-02-01,5.31,3.21,2.0999999999999996
2015-03-01,6.04,3.53,2.5100000000000002
2015-04-01,5.83,3.5,2.33
2015-05-01,,3.51,
2015-06-01,6.25,3.54,2.71
2015-07-01,6.07,3.63,2.4400000000000004
2015-08-01,,3.7,
2015-09-01,6.07,3.72,2.35
2015-10-01,,3.53,
2015-11-01,6.18,3.7,2.4799999999999995
2015-12-01,,3.68,
2016-01-01,6.23,3.58,2.6500000000000004
2016-02-01,6.07,3.53,2.5400000000000005
2016-03-01,6.03,4.11,1.92
2016-04-01,,4.04,
2016-05-01,5.91,4.47,1.4400000000000004
2016-06-01,6.08,4.47,1.6100000000000003
2016-07-01,,4.79,
2016-08-01,6.01,4.76,1.25
2016-09-01,5.99,4.87,1.12
2016-10-01,6.09,5.23,0.8599999999999994
2016-11-01,,5.31,
2016-12-01,7.25,6.21,1.04
2017-01-01,7.6,6.68,0.9199999999999999
2017-02-01,,6.94,
2017-03-01,7.4,6.92,0.4800000000000004
2017-04-01,7.24,6.99,0.25
2017-05-01,7.32,7.25,0.07000000000000028
2017-06-01,,7.2,
2017-07-01,6.88,7.25,-0.3700000000000001
2017-08-01,6.89,7.22,-0.33000000000000007
2017-09-01,6.79,7.2,-0.41000000000000014
2017-10-01,,7.18,
2017-11-01,7.19,7.29,-0.09999999999999964
2017-12-01,7.53,7.33,0.20000000000000018
2018-01-01,,7.8,
2018-02-01,7.64,7.7,-0.0600000000000005
2018-03-01,7.52,7.84,-0.3200000000000003
2018-04-01,7.54,7.73,-0.1900000000000004
2018-05-01,,7.94,
2018-06-01,7.88,8.12,-0.23999999999999932
2018-07-01,7.75,8.19,-0.4399999999999995
2018-08-01,7.83,8.18,-0.34999999999999964
2018-09-01,,8.26,
2018-10-01,8.17,8.23,-0.0600000000000005
2018-11-01,9.11,8.49,0.6199999999999992
2018-12-01,,8.7,
2019-01-01,8.71,8.54,0.1700000000000017
2019-02-01,8.49,8.2,0.2900000000000009
2019-03-01,8.01,8.07,-0.0600000000000005
2019-04-01,,8.15,
2019-05-01,8.24,8.31,-0.07000000000000028
2019-06-01,7.68,8.16,-0.4800000000000004
2019-07-01,,8.06,
2019-08-01,7.53,7.78,-0.25
2019-09-01,7.08,7.41,-0.33000000000000007
2019-10-01,6.87,7.18,-0.3099999999999996
2019-11-01,,7.14,
2019-12-01,7.14,7.18,-0.040000000000000036
2020-01-01,6.85,7.08,-0.23000000000000043
2020-02-01,6.47,6.68,-0.20999999999999996
2020-03-01,,6.61,
2020-04-01,7.37,5.8,1.5700000000000003
2020-05-01,6.06,5.03,1.0299999999999994
2020-06-01,,4.91,
2020-07-01,5.81,4.61,1.1999999999999993
2020-08-01,5.77,4.48,1.2899999999999991
2020-09-01,5.68,4.45,1.2299999999999995
2020-10-01,,4.37,
2020-11-01,6.07,4.36,1.71
2020-12-01,5.67,4.32,1.3499999999999996
2021-01-01,5.61,4.22,1.3900000000000006
2021-02-01,,4.15,
2021-03-01,6.25,4.34,1.9100000000000001
2021-04-01,6.68,4.64,2.04
2021-05-01,,4.78,
2021-06-01,6.54,4.8,1.7400000000000002
2021-07-01,6.9,5.46,1.4400000000000004
2021-08-01,6.98,5.47,1.5100000000000007
2021-09-01,,5.51,
