,Canada_10Y,Japan_10Y,Mexico_10Y,Mexico_2Y,Canada_2Y
1990-01-01,9.83772727272727,6.449,,,
1990-02-01,10.283,6.778,,,
1990-03-01,10.8059090909091,6.899,,,
1990-04-01,11.5185,6.906000000000001,,,
1990-05-01,11.145,6.507999999999999,,,
1990-06-01,10.74,6.421,,,
1990-07-01,10.6542857142857,6.772,,,
1990-08-01,10.705,7.62,,,
1990-09-01,10.9794736842105,8.032,,,
1990-10-01,11.182727272727302,7.6,,,
1990-11-01,10.6185714285714,7.08,,,
1990-12-01,10.2547368421053,6.454,,,
1991-01-01,10.1163636363636,6.432,,,
1991-02-01,9.551,6.309,,,
1991-03-01,9.621,6.591,,,
1991-04-01,9.52045454545454,6.64,,,
1991-05-01,9.58181818181818,6.6370000000000005,,,
1991-06-01,9.9265,6.735,,,
1991-07-01,9.97772727272727,6.67,,,
1991-08-01,9.741428571428573,6.414,,,
1991-09-01,9.441,6.081,,,
1991-10-01,9.006818181818181,5.885,,,
1991-11-01,8.5735,5.9270000000000005,,,
1991-12-01,8.4135,5.718999999999999,,,
1992-01-01,8.14045454545455,5.449,,,
1992-02-01,8.387,5.577999999999999,,,
1992-03-01,8.745,5.531000000000001,,,
1992-04-01,8.78857142857143,5.71,,,
1992-05-01,8.545,5.739,,,
1992-06-01,8.23863636363636,5.64,,,
1992-07-01,7.72681818181818,5.408,,,
1992-08-01,7.2935,5.112,,,
1992-09-01,7.47428571428571,5.021,,,
1992-10-01,7.67809523809524,5.015,,,
1992-11-01,7.856,4.868,,,
1992-12-01,7.86142857142857,4.848,,,
1993-01-01,7.968999999999999,4.723,,,
1993-02-01,7.6585,4.409,,,
1993-03-01,7.44391304347826,4.3180000000000005,,,
1993-04-01,7.468571428571429,4.593,,,
1993-05-01,7.566,4.9430000000000005,,,
1993-06-01,7.455454545454549,4.836,,,
1993-07-01,7.20380952380952,4.517,,,
1993-08-01,6.95428571428571,4.407,,,
1993-09-01,6.881428571428571,4.016,,,
1993-10-01,6.7975,3.931,,,
1993-11-01,6.84904761904762,3.762,,,
1993-12-01,6.69333333333333,3.3960000000000004,,,
1994-01-01,6.464,3.597,,,
1994-02-01,6.7065,4.041,,,
1994-03-01,7.46565217391304,4.453,,,
1994-04-01,8.08,4.093,,,
1994-05-01,8.44047619047619,3.984,,,
1994-06-01,8.99863636363636,4.2780000000000005,,,
1994-07-01,9.1455,4.531000000000001,,,
1994-08-01,8.896363636363642,4.7780000000000005,,,
1994-09-01,8.90285714285714,4.642,,,
1994-10-01,9.062,4.684,,,
1994-11-01,9.151428571428571,4.718,,,
1994-12-01,9.065,4.561,,,
1995-01-01,9.34952380952381,4.605,,,
1995-02-01,8.9015,4.515,,,
1995-03-01,8.64217391304348,4.113,,,
1995-04-01,8.41684210526316,3.545,,,
1995-05-01,8.060454545454549,3.386,,,
1995-06-01,7.85818181818182,3.024,,,
1995-07-01,8.076,2.9330000000000003,,,
1995-08-01,8.26409090909091,3.215,,,
1995-09-01,7.9285,3.03,,,
1995-10-01,7.7209523809523795,2.925,,,
1995-11-01,7.47380952380952,3.048,,,
1995-12-01,7.249473684210531,2.983,,,
1996-01-01,7.09181818181818,3.12,,,
1996-02-01,7.24047619047619,3.2710000000000004,,,
1996-03-01,7.621904761904759,3.299,,,
1996-04-01,7.69952380952381,3.301,,,
1996-05-01,7.76818181818182,3.388,,,
1996-06-01,7.8095,3.252,,,
1996-07-01,7.71181818181818,3.294,,,
1996-08-01,7.30571428571429,3.209,,,
1996-09-01,7.3385,2.928,,,
1996-10-01,6.64454545454545,2.8,,,
1996-11-01,6.135,2.759,,,
1996-12-01,6.392,2.597,,,
1997-01-01,6.63272727272727,2.632,,,
1997-02-01,6.3035,2.583,,,
1997-03-01,6.5395,2.524,,,
1997-04-01,6.78454545454545,2.382,,,
1997-05-01,6.573333333333331,2.736,,,
1997-06-01,6.2714285714285705,2.684,,,
1997-07-01,5.96318181818182,2.505,,,
1997-08-01,5.9945,2.354,,,
1997-09-01,5.87619047619048,2.21,,,
1997-10-01,5.60909090909091,1.994,,,
1997-11-01,5.503157894736839,1.941,,,
1997-12-01,5.66571428571429,1.939,,,
1998-01-01,5.360476190476191,1.948,,,
1998-02-01,5.434,2.0,,,
1998-03-01,5.4272727272727295,1.855,,,
1998-04-01,5.31238095238095,1.867,,,
1998-05-01,5.3870000000000005,1.655,,,
1998-06-01,5.31863636363636,1.54,,,
1998-07-01,5.347727272727269,1.683,,,
1998-08-01,5.565,1.5019999999999998,,,
1998-09-01,5.24666666666667,1.103,,,
1998-10-01,4.90809523809524,0.879,,,
1998-11-01,5.169,0.977,,,
1998-12-01,4.872380952380951,1.4880000000000002,,,
1999-01-01,4.9465,1.91,,,
1999-02-01,5.124,2.117,,,
1999-03-01,5.2204347826087005,1.816,,,
1999-04-01,5.02952380952381,1.5630000000000002,,,
1999-05-01,5.3595,1.334,,,
1999-06-01,5.58090909090909,1.632,,,
1999-07-01,5.49095238095238,1.703,,,
1999-08-01,5.75571428571429,1.878,,,
1999-09-01,5.721428571428571,1.759,,,
1999-10-01,6.0895,1.692,,,
1999-11-01,6.0347619047619006,1.817,,,
1999-12-01,6.14,1.767,,,
2000-01-01,6.4915,1.6909999999999998,,,
2000-02-01,6.338571428571429,1.796,,,
2000-03-01,6.02826086956522,1.819,,,
2000-04-01,5.924210526315791,1.74,,,
2000-05-01,6.215,1.705,,,
2000-06-01,5.89545454545455,1.664,,,
2000-07-01,5.8635,1.689,,,
2000-08-01,5.76636363636364,1.75,,,
2000-09-01,5.7295,1.876,,,
2000-10-01,5.72333333333333,1.815,,,
2000-11-01,5.727142857142861,1.764,,,
2000-12-01,5.40210526315789,1.624,,,
2001-01-01,5.41863636363636,1.508,,,
2001-02-01,5.43,1.415,,,
2001-03-01,5.30136363636364,1.169,,,
2001-04-01,5.5915,1.315,,,
2001-05-01,5.85136363636364,1.25,,,
2001-06-01,5.71809523809524,1.152,,,
2001-07-01,5.80047619047619,1.305,10.9,,
2001-08-01,5.53090909090909,1.3430000000000002,10.9,,
2001-09-01,5.30263157894737,1.346,10.9,,
2001-10-01,5.23272727272727,1.3630000000000002,11.09,,
2001-11-01,5.177142857142861,1.328,11.09,,
2001-12-01,5.40842105263158,1.334,10.28,,
2002-01-01,5.34363636363636,1.42,9.98,,
2002-02-01,5.321000000000001,1.501,9.93,,
2002-03-01,5.667000000000001,1.421,9.72,,
2002-04-01,5.658636363636361,1.394,9.85,,
2002-05-01,5.59590909090909,1.365,9.2,,
2002-06-01,5.424,1.328,9.95,,
2002-07-01,5.2904545454545495,1.296,10.17,,
2002-08-01,5.12047619047619,1.255,10.23,,
2002-09-01,4.8855,1.129,10.22,,
2002-10-01,5.1272727272727305,1.095,11.17,,
2002-11-01,5.0895,0.979,10.96,,
2002-12-01,4.9675,0.975,10.12,,
2003-01-01,4.961818181818179,0.836,10.12,,
2003-02-01,5.012,0.828,10.09,,
2003-03-01,4.99714285714286,0.7240000000000001,10.58,,
2003-04-01,5.05190476190476,0.6629999999999999,9.53,,
2003-05-01,4.67190476190476,0.5770000000000001,8.49,,
2003-06-01,4.28809523809524,0.529,8.07,,
2003-07-01,4.68318181818182,0.956,8.74,,
2003-08-01,4.902,1.406,8.88,,
2003-09-01,4.757142857142861,1.42,8.37,,
2003-10-01,4.81545454545455,1.4369999999999998,8.24,,
2003-11-01,4.85684210526316,1.3330000000000002,8.35,,
2003-12-01,4.729047619047621,1.33,8.32,,
2004-01-01,4.58619047619048,1.33,8.32,,
2004-02-01,4.4515,1.211,8.38,,
2004-03-01,4.260434782608701,1.418,8.6,,
2004-04-01,4.612857142857139,1.52,8.92,,
2004-05-01,4.773,1.505,10.1,,
