date,USA_Spread,Canada_Spread,Germany_Spread,Mexico_Spread
1970-01-31,,,,
1970-02-28,,,,
1970-03-31,,,,
1970-04-30,,,,
1970-05-31,,,,
1970-06-30,,,,
1970-07-31,,,,
1970-08-31,,,,
1970-09-30,,,,
1970-10-31,,,,
1970-11-30,,,,
1970-12-31,,,,
1971-01-31,,,,
1971-02-28,,,,
1971-03-31,,,,
1971-04-30,,,,
1971-05-31,,,,
1971-06-30,,,,
1971-07-31,,,,
1971-08-31,,,,
1971-09-30,,,,
1971-10-31,,,,
1971-11-30,,,,
1971-12-31,,,,
1972-01-31,,,,
1972-02-29,,,,
1972-03-31,,,,
1972-04-30,,,,
1972-05-31,,,,
1972-06-30,,,,
1972-07-31,,,,
1972-08-31,,,,
1972-09-30,,,,
1972-10-31,,,,
1972-11-30,,,,
1972-12-31,,,,
1973-01-31,,,,
1973-02-28,,,,
1973-03-31,,,,
1973-04-30,,,,
1973-05-31,,,,
1973-06-30,,,,
1973-07-31,,,,
1973-08-31,,,,
1973-09-30,,,,
1973-10-31,,,,
1973-11-30,,,,
1973-12-31,,,,
1974-01-31,,,,
1974-02-28,,,,
1974-03-31,,,,
1974-04-30,,,,
1974-05-31,,,,
1974-06-30,,,,
1974-07-31,,,,
1974-08-31,,,,
1974-09-30,,,,
1974-10-31,,,,
1974-11-30,,,,
1974-12-31,,,,
1975-01-31,,,,
1975-02-28,,,,
1975-03-31,,,,
1975-04-30,,,,
1975-05-31,,,,
1975-06-30,,,,
1975-07-31,,,,
1975-08-31,,,,
1975-09-30,,,,
1975-10-31,,,,
1975-11-30,,,,
1975-12-31,,,,
1976-01-31,,,,
1976-02-29,,,,
1976-03-31,,,,
1976-04-30,,,,
1976-05-31,,,,
1976-06-30,,,,
1976-07-31,,,,
1976-08-31,,,,
1976-09-30,,,,
1976-10-31,,,,
1976-11-30,,,,
1976-12-31,,,,
1977-01-31,,,,
1977-02-28,,,,
1977-03-31,,,,
1977-04-30,,,,
1977-05-31,,,,
1977-06-30,,,,
1977-07-31,,,,
1977-08-31,,,,
1977-09-30,,,,
1977-10-31,,,,
1977-11-30,,,,
1977-12-31,,,,
1978-01-31,,,,
1978-02-28,,,,
1978-03-31,,,,
1978-04-30,,,,
1978-05-31,,,,
1978-06-30,,,,
1978-07-31,,,,
1978-08-31,,,,
1978-09-30,,,,
1978-10-31,,,,
1978-11-30,,,,
1978-12-31,,,,
1979-01-31,,,,
1979-02-28,,,,
1979-03-31,,,,
1979-04-30,,,,
1979-05-31,,,,
1979-06-30,,,,
1979-07-31,,,,
1979-08-31,,,,
1979-09-30,,,,
1979-10-31,,,,
1979-11-30,,,,
1979-12-31,,,,
1980-01-31,,,,
1980-02-29,,,,
1980-03-31,,,,
1980-04-30,,,,
1980-05-31,,,,
1980-06-30,,,,
1980-07-31,,,,
1980-08-31,,,,
1980-09-30,,,,
1980-10-31,,,,
1980-11-30,,,,
1980-12-31,,,,
1981-01-31,,,,
1981-02-28,,,,
1981-03-31,,,,
1981-04-30,,,,
1981-05-31,,,,
1981-06-30,,,,
1981-07-31,,,,
1981-08-31,,,,
1981-09-30,,,,
1981-10-31,,,,
1981-11-30,,,,
1981-12-31,,,,
1982-01-31,,,,
1982-02-28,,,,
1982-03-31,,,,
1982-04-30,,,,
1982-05-31,,,,
1982-06-30,,,,
1982-07-31,,,,
1982-08-31,,,,
1982-09-30,,,,
1982-10-31,,,,
1982-11-30,,,,
1982-12-31,,,,
1983-01-31,,,,
1983-02-28,,,,
1983-03-31,,,,
1983-04-30,,,,
1983-05-31,,,,
1983-06-30,,,,
1983-07-31,,,,
1983-08-31,,,,
1983-09-30,,,,
1983-10-31,,,,
1983-11-30,,,,
1983-12-31,,,,
1984-01-31,,,,
1984-02-29,,,,
1984-03-31,,,,
1984-04-30,,,,
1984-05-31,,,,
1984-06-30,,,,
1984-07-31,,,,
1984-08-31,,,,
1984-09-30,,,,
1984-10-31,,,,
1984-11-30,,,,
1984-12-31,,,,
1985-01-31,,,,
1985-02-28,,,,
1985-03-31,,,,
1985-04-30,,,,
1985-05-31,,,,
1985-06-30,,,,
1985-07-31,,,,
1985-08-31,,,,
1985-09-30,,,,
1985-10-31,,,,
1985-11-30,,,,
1985-12-31,,,,
1986-01-31,,,,
1986-02-28,,,,
1986-03-31,,,,
1986-04-30,,,,
1986-05-31,,,,
1986-06-30,,,,
1986-07-31,,,,
1986-08-31,,,,
1986-09-30,,,,
1986-10-31,,,,
1986-11-30,,,,
1986-12-31,,,,
1987-01-31,,,,
1987-02-28,,,,
1987-03-31,,,,
1987-04-30,,,,
1987-05-31,,,,
1987-06-30,,,,
1987-07-31,,,,
1987-08-31,,,,
1987-09-30,,,,
1987-10-31,,,,
1987-11-30,,,,
1987-12-31,,,,
1988-01-31,,,,
1988-02-29,,,,
1988-03-31,,,,
1988-04-30,,,,
1988-05-31,,,,
1988-06-30,,,,
1988-07-31,,,,
1988-08-31,,,,
1988-09-30,,,,
1988-10-31,,,,
1988-11-30,,,,
1988-12-31,,,,
1989-01-31,,,,
1989-02-28,,,,
1989-03-31,,,,
1989-04-30,,,,
1989-05-31,,,,
1989-06-30,,,,
1989-07-31,,,,
1989-08-31,,,,
1989-09-30,,,,
1989-10-31,,,,
1989-11-30,,,,
1989-12-31,,,,
1990-01-31,,,,
1990-01-31,0.07000000000000028,,,
1990-01-31,0.04999999999999982,,,
1990-01-31,0.0600000000000005,,,
1990-01-31,0.08999999999999986,,,
1990-01-31,0.11999999999999922,,,
1990-01-31,0.10999999999999943,,,
1990-01-31,0.11999999999999922,,,
1990-01-31,0.129999999999999,,,
1990-01-31,0.16999999999999993,,,
1990-01-31,,,,
1990-01-31,0.09999999999999964,,,
1990-01-31,0.09999999999999964,,,
1990-01-31,0.07000000000000028,,,
1990-01-31,0.0600000000000005,,,
1990-01-31,0.08999999999999986,,,
1990-01-31,0.08000000000000007,,,
1990-01-31,0.1800000000000015,,,
1990-01-31,0.17999999999999972,,,
1990-01-31,0.21000000000000085,,,
1990-01-31,0.1999999999999993,,,
1990-01-31,0.20999999999999908,,,
1990-01-31,0.15000000000000036,,,
1990-02-28,0.14000000000000057,,,
1990-02-28,0.13000000000000078,,,
1990-02-28,0.16000000000000014,,,
1990-02-28,0.15000000000000036,,,
1990-02-28,0.09999999999999964,,,
1990-02-28,0.120000000000001,,,
1990-02-28,0.0600000000000005,,,
1990-02-28,0.08000000000000007,,,
1990-02-28,0.1399999999999988,,,
1990-02-28,0.08999999999999986,,,
1990-02-28,0.08000000000000007,,,
1990-02-28,0.0600000000000005,,,
1990-02-28,,,,
1990-02-28,0.09999999999999964,,,
1990-02-28,0.11999999999999922,,,
1990-02-28,0.08999999999999986,,,
1990-02-28,0.09999999999999964,,,
1990-02-28,0.08000000000000007,,,
1990-02-28,0.07000000000000028,,,
1990-02-28,0.08000000000000007,,,
1990-03-31,0.0600000000000005,,,
1990-03-31,0.05999999999999872,,,
1990-03-31,0.09999999999999964,,,
1990-03-31,0.05000000000000071,,,
1990-03-31,0.040000000000000924,,,
1990-03-31,-0.019999999999999574,,,
1990-03-31,-0.08000000000000007,,,
1990-03-31,-0.08000000000000007,,,
1990-03-31,-0.03999999999999915,,,
1990-03-31,-0.03999999999999915,,,
1990-03-31,-0.05000000000000071,,,
1990-03-31,-0.05000000000000071,,,
1990-03-31,-0.08999999999999986,,,
1990-03-31,-0.14000000000000057,,,
1990-03-31,-0.1399999999999988,,,
1990-03-31,-0.08999999999999986,,,
1990-03-31,-0.08999999999999986,,,
1990-03-31,-0.09999999999999964,,,
1990-03-31,-0.07000000000000028,,,
1990-03-31,-0.0600000000000005,,,
1990-03-31,-0.019999999999999574,,,
1990-03-31,0.009999999999999787,,,
1990-03-31,,,,
1990-04-30,,,,
1990-04-30,0.030000000000001137,,,
1990-04-30,0.02000000000000135,,,
1990-04-30,0.010000000000001563,,,
1990-04-30,0.030000000000001137,,,
1990-04-30,0.040000000000000924,,,
